id_str,korean_title,original_title,date,running_time,description,poster_url,avg_rating,countries,genres,service_providers,casts,background,image_urls,video_urls
mWzM9D5,명량,명량,2014-03-21,02: 8:00,"1597년 임진왜란 6년, 오랜 전쟁으로 인해 혼란이 극에 달한 조선. 무서운 속도로 한양으로 북상하는 왜군에 의해 국가존망의 위기에 처하자 누명을 쓰고 파면 당했던 이순신 장군(최민식)이 삼도수군통제사로 재임명된다. 하지만 그에게 남은 건 전의를 상실한 병사와 두려움에 가득 찬 백성, 그리고 12척의 배 뿐. 마지막 희망이었던 거북선마저 불타고 잔혹한 성격과 뛰어난 지략을 지닌 용병 구루지마(류승룡)가 왜군 수장으로 나서자 조선은 더욱 술렁인다. 330척에 달하는 왜군의 배가 속속 집결하고 압도적인 수의 열세에 모두가 패배를 직감하는 순간, 이순신 장군은 단 12척의 배를 이끌고 명량 바다를 향해 나서는데...","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_400,q_80,w_280/v1466141792/ily8rsxuqw98pdd1b7cv.jpg",3.6,['한국'],"['전쟁', '드라마', '시대극', '액션']","['왓챠', 'TVING']","[['김한민', '감독', 'https://images.watcha.net/people/medium/a6b22a41f9eb671f4d66.jpg?1589884805'], ['최민식', '주연', 'https://images.watcha.net/people/medium/38902aa56b716870cf97.jpg?1580875836'], ['류승룡', '주연', 'https://images.watcha.net/people/medium/7805d7a15206d1bdb542.jpg?1589957144'], ['조진웅', '주연', 'https://images.watcha.net/people/medium/2fc9def27ea3b747ffe7.jpg?1565940677'], ['진구', '조연', 'https://images.watcha.net/people/medium/58b9aea873ea418fbe4d.jpg?1582770097'], ['고경표', '조연', 'https://images.watcha.net/people/medium/d734d9bd32b80bfcad9f.jpg?1567061470'], ['이정현', '조연', 'https://images.watcha.net/people/medium/d687b0fb9611d428aba3.jpg?1582925131'], ['노민우', '조연', 'https://images.watcha.net/people/medium/a25aae02c20c345dcd71.jpg?1562048300'], ['박보검', '조연', 'https://images.watcha.net/people/medium/c6ba27b8fbc8b50d1916.jpg?1590471971'], ['김태훈', '조연', 'https://images.watcha.net/people/medium/6848e5f4793c9f4da9bf.jpg?1589953384'], ['김원해', '조연', 'https://images.watcha.net/people/medium/585516d761a204b587e2.jpg?1588829643'], ['문영동', '조연', 'https://images.watcha.net/people/medium/548e99de1b2d0dd19d0a.jpg?1597311560'], ['유순웅', '조연', 'https://images.watcha.net/people/medium/f2115c40e4de5af95b77.jpg?1579505122'], ['최덕문', '조연', 'https://images.watcha.net/people/medium/71c5533a8bffb7997bcf.jpg?1571129514'], ['최창균', '조연', 'https://images.watcha.net/people/medium/9cec5af6e47e7ddc845d.jpg?1590472012'], ['신창수', '조연', ''], ['김현태', '조연', 'https://images.watcha.net/people/medium/2f07fffb6a398374d3eb.jpg?1571288630'], ['정제우', '조연', ''], ['강태영', '조연', 'https://images.watcha.net/people/medium/70a8eed5edc7bb942c83.jpg?1562834222'], ['주석태', '조연', 'https://images.watcha.net/people/medium/1c2fd864071bb775b2e2.jpg?1571288739'], ['조복래', '조연', 'https://images.watcha.net/people/medium/136252a51601fd74dc63.jpg?1580370295'], ['심지원', '조연', 'https://images.watcha.net/people/medium/50874ac5380b5339053f.jpg?1588832680'], ['이재구', '조연', 'https://images.watcha.net/people/medium/6e350f1f605b4d1c98cf.jpg?1589182457'], ['조하석', '조연', 'https://images.watcha.net/people/medium/5f34381fda92bffb12b6.jpg?1590135854'], ['이병길', '조연', ''], ['구본진', '조연', 'https://images.watcha.net/people/medium/88721bf86135e2e16533.jpg?1590375606'], ['이주실', '조연', 'https://images.watcha.net/people/medium/8d98d77d1838a160f2b5.jpg?1567649674']]","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_720,q_80,w_1280/v1463399082/myzist-9530.jpg","['https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1463399082/myzist-9530.jpg']","[['https://img.youtube.com/vi/spQtwggaCy4/0.jpg', 'https://www.youtube.com/watch?v=spQtwggaCy4'], ['https://img.youtube.com/vi/VfvBLAsn9po/0.jpg', 'https://www.youtube.com/watch?v=VfvBLAsn9po'], ['https://img.youtube.com/vi/AGq_MgqntzE/0.jpg', 'https://www.youtube.com/watch?v=AGq_MgqntzE'], ['https://img.youtube.com/vi/5g-AP0kRgV8/0.jpg', 'https://www.youtube.com/watch?v=5g-AP0kRgV8'], ['https://img.youtube.com/vi/jbjFCHhQv-8/0.jpg', 'https://www.youtube.com/watch?v=jbjFCHhQv-8']]"
mdMBlkR,극한직업,극한직업,2018-05-15,01: 51:00,"불철주야 달리고 구르지만 실적은 바닥, 급기야 해체 위기를 맞는 마약반. 더 이상 물러설 곳이 없는 팀의 맏형 고반장은 국제 범죄조직의 국내 마약 밀반입 정황을 포착하고 장형사, 마형사, 영호, 재훈까지 4명의 팀원들과 함께 잠복 수사에 나선다. 마약반은 24시간 감시를 위해 범죄조직의 아지트 앞 치킨집을 인수해 위장 창업을 하게 되고, 뜻밖의 절대미각을 지닌 마형사의 숨은 재능으로 치킨집은 일약 맛집으로 입소문이 나기 시작한다. 수사는 뒷전, 치킨장사로 눈코 뜰 새 없이 바빠진 마약반에게 어느 날 절호의 기회가 찾아오는데…

범인을 잡을 것인가, 닭을 잡을 것인가!","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_400,q_80,w_280/v1547742906/dqcjjakz78fkti41ynw3.jpg",3.9,['한국'],['코미디'],"['왓챠', 'TVING']","[['이병헌', '감독', 'https://images.watcha.net/people/medium/5423edd89a110f6703fd.jpg?1570006152'], ['류승룡', '주연', 'https://images.watcha.net/people/medium/7805d7a15206d1bdb542.jpg?1589957144'], ['이하늬', '주연', 'https://images.watcha.net/people/medium/128e6c60b9c3624d91bd.jpg?1589182408'], ['진선규', '주연', 'https://images.watcha.net/people/medium/ec7d012a8bf7306ec93e.jpg?1566540724'], ['이동휘', '주연', 'https://images.watcha.net/people/medium/4b174d01344e7a8a3268.jpg?1555220178'], ['공명', '주연', 'https://images.watcha.net/people/medium/e2b3e8ec1e78a3a46fc4.jpg?1570006204'], ['신하균', '조연', 'https://images.watcha.net/people/medium/b735a2ca00e9375a546c.jpg?1589864905'], ['오정세', '조연', 'https://images.watcha.net/people/medium/815adb8c296dd9dc2286.jpg?1571214765'], ['김의성', '조연', 'https://images.watcha.net/people/medium/553dd293d4111f4948b0.jpg?1579251665'], ['장진희', '조연', 'https://images.watcha.net/people/medium/3bb21c7a8f808e4664b6.jpg?1571362967'], ['송영규', '조연', 'https://images.watcha.net/people/medium/2f2abccc56110a7937d5.jpg?1596433798'], ['양현민', '조연', 'https://images.watcha.net/people/medium/b7ff7e3ef5a5814fb673.jpg?1577944836'], ['허준석', '조연', 'https://images.watcha.net/people/medium/8d39c5f81438f26f407a.jpg?1580974579'], ['이중옥', '조연', 'https://images.watcha.net/people/medium/5e4db08ff3e03080d2c6.jpg?1565510418'], ['신신애', '특별출연', 'https://images.watcha.net/people/medium/2d7eae7c744bc93d446d.jpg?1577944469'], ['김지영', '특별출연', 'https://images.watcha.net/people/medium/449020828d7ce369591f.jpg?1586326200'], ['김강현', '특별출연', 'https://images.watcha.net/people/medium/d6ee34fd28f708e5d285.jpg?1565592708'], ['김종수', '단역', 'https://images.watcha.net/people/medium/318f85b2d791fb28bbea.jpg?1577944994'], ['최정은', '단역', 'https://images.watcha.net/people/medium/94619e05bff2ac593df3.jpg?1577945078'], ['정재광', '단역', 'https://images.watcha.net/people/medium/a62cad431cfa543b4718.jpg?1571130405'], ['한준우', '단역', 'https://images.watcha.net/people/medium/fbe90fed42f81bb76258.jpg?1576489424'], ['김명준', '단역', 'https://images.watcha.net/people/medium/6a572e965b4d452ceefc.jpg?1576489446'], ['안성봉', '단역', 'https://images.watcha.net/people/medium/d5e55ba9484eb7468daf.jpg?1587622375']]","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_720,q_80,w_1280/v1577956444/tnaeoi6sarb3gffudvtg.jpg","['https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1577956444/tnaeoi6sarb3gffudvtg.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1576550710/yll3ssipycuk1wxdhgli.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1576549750/ydolv9gu2lhzoxyrerjj.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1576549417/vzjestxlm6qsnjhewnwj.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1576549250/tjfu6qpbj6xghuzajwao.jpg']","[['https://img.youtube.com/vi/GkECbvHK4js/0.jpg', 'https://www.youtube.com/watch?v=GkECbvHK4js'], ['https://img.youtube.com/vi/Zm3m4fBQLjQ/0.jpg', 'https://www.youtube.com/watch?v=Zm3m4fBQLjQ'], ['https://img.youtube.com/vi/rpEcZ-Gk0P8/0.jpg', 'https://www.youtube.com/watch?v=rpEcZ-Gk0P8'], ['https://img.youtube.com/vi/xM1CIQd_X4c/0.jpg', 'https://www.youtube.com/watch?v=xM1CIQd_X4c'], ['https://img.youtube.com/vi/lxRrFVn8qUQ/0.jpg', 'https://www.youtube.com/watch?v=lxRrFVn8qUQ']]"
mWw8zEO,신과함께-죄와 벌,신과함께-죄와 벌,2017-07-26,02: 19:00,"저승 법에 의하면, 
모든 인간은 사후 49일 동안 7번의 재판을 거쳐야만 한다.
살인, 나태, 거짓, 불의, 배신, 폭력, 천륜.
7개의 지옥에서 7번의 재판을 무사히 통과한 망자만이 환생하여 새로운 삶을 시작할 수 있다.

“김자홍 씨께선, 오늘 예정 대로 무사히 사망하셨습니다”
화재 사고 현장에서 여자아이를 구하고 죽음을 맞이한 소방관 자홍, 그의 앞에 저승차사 해원맥과 덕춘이 나타난다. 자신의 죽음이 아직 믿기지도 않는데 덕춘은 정의로운 망자이자 귀인이라며 그를 치켜세운다. 저승으로 가는 입구, 초군문에서 그를 기다리는 또 한 명의 차사 강림, 그는 차사들의 리더이자 앞으로 자홍이 겪어야 할 7번의 재판에서 변호를 맡아줄 변호사이기도 하다. 염라대왕에게 천년 동안 49명의 망자를 환생시키면 자신들 역시 인간으로 환생시켜 주겠다는 약속을 받은 삼차사들, 그들은 자신들이 변호하고 호위해야 하는 48번째 망자이자 19년 만에 나타난 의로운 귀인 자홍의 환생을 확신하지만, 각 지옥에서 자홍의 과거가 하나 둘씩 드러나면서 예상치 못한 고난과 맞닥뜨리는데…

누구나 가지만 아무도 본 적 없는 곳, 2017년 새로운 세계의 문이 열린다.","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_400,q_80,w_280/v1512525324/vpkx11sjxbspgpqedl14.jpg",3.7,['한국'],"['판타지', '드라마']","['왓챠', 'TVING']","[['김용화', '감독', 'https://images.watcha.net/people/medium/30a784f2e46f314d690d.jpg?1556600430'], ['하정우', '주연', 'https://images.watcha.net/people/medium/bc20c2bb28c88b6feed1.jpg?1556600458'], ['주지훈', '주연', 'https://images.watcha.net/people/medium/1b114402eb57c3688683.jpg?1590386916'], ['김향기', '주연', 'https://images.watcha.net/people/medium/3b2d551650e22870452b.jpg?1588755801'], ['차태현', '주연', 'https://images.watcha.net/people/medium/be9d958b9d49b9416e7c.jpg?1580202366'], ['김동욱', '조연', 'https://images.watcha.net/people/medium/3685d8497cb4ef207e24.jpg?1587005112'], ['도경수', '조연', 'https://images.watcha.net/people/medium/29b7b5ad2bd6260bb1aa.jpg?1564366395'], ['오달수', '조연', 'https://images.watcha.net/people/medium/ef7509792978cd5d0154.jpg?1580704599'], ['임원희', '조연', 'https://images.watcha.net/people/medium/914b7181632b1e35a1b7.jpg?1566474218'], ['마동석', '조연', 'https://images.watcha.net/people/medium/c12ccf9ca2254c9124a0.jpg?1562834740'], ['장광', '조연', 'https://images.watcha.net/people/medium/b6285520525427abe292.jpg?1580375942'], ['정해균', '조연', 'https://images.watcha.net/people/medium/00d1d4bface71832771f.jpg?1590045505'], ['김수안', '조연', 'https://images.watcha.net/people/medium/fd9584cee8869bc540a7.jpg?1579678038'], ['이준혁', '조연', 'https://images.watcha.net/people/medium/8f0b46dbde3ecfa0a604.jpg?1578534480'], ['예수정', '조연', 'https://images.watcha.net/people/medium/d40886f80789dc53972a.jpg?1591163443'], ['정지훈', '조연', 'https://images.watcha.net/people/medium/7fd11c76532b1dc4e721.jpg?1580439968'], ['남일우', '조연', 'https://images.watcha.net/people/medium/8df5864602d657e84c34.jpg?1579251868'], ['이정재', '특별출연', 'https://images.watcha.net/people/medium/0055f2103a9f7742e5a7.jpg?1583889252']]","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_720,q_80,w_1280/v1534923267/mfogdijvwy4cetczkmpj.jpg","['https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1534923267/mfogdijvwy4cetczkmpj.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1531127372/ek8jeelbbcvbz4qoapbt.jpg']",[]
mdReBLO,국제시장,국제시장,2014-09-20,02: 6:00,"하고 싶은 것, 되고 싶은 것도 많았지만 평생 단 한번도 자신을 위해 살아본 적 없는 '덕수','괜찮다' 웃어 보이고 '다행이다' 눈물 훔치며 그때 그 시절,오직 가족을 위해 굳세게 살아온 우리들의 아버지의 이야기","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_400,q_80,w_280/v1466149929/nz7wntetujld7uncv2kr.jpg",3.8,['한국'],['드라마'],"['왓챠', 'TVING']","[['윤제균', '감독', 'https://images.watcha.net/people/medium/fa1ee653b76f6f5b32f1.jpg?1551953614'], ['황정민', '주연', 'https://images.watcha.net/people/medium/e0e01fb3fc371e7e7fbf.jpg?1579499386'], ['김윤진', '주연', 'https://images.watcha.net/people/medium/c76cc9582b501e406bf0.jpg?1555824642'], ['오달수', '주연', 'https://images.watcha.net/people/medium/ef7509792978cd5d0154.jpg?1580704599'], ['정진영', '조연', 'https://images.watcha.net/people/medium/51378df4456a7b70619d.jpg?1554279777'], ['장영남', '조연', 'https://images.watcha.net/people/medium/d9dc09ccf237d2c848b8.jpg?1556772651'], ['라미란', '조연', 'https://images.watcha.net/people/medium/f6ed65b09b4b776b0a85.jpg?1578222998'], ['김슬기', '조연', 'https://images.watcha.net/people/medium/d41447007d00082c1daf.jpg?1566082932'], ['이현', '조연', 'https://images.watcha.net/people/medium/73cba4ad5cd4d3ab9e51.jpg?1580270947'], ['김민재', '조연', 'https://images.watcha.net/people/medium/bf071ac7e488827d72ea.jpg?1580566471'], ['태인호', '조연', 'https://images.watcha.net/people/medium/fd13d878f03a96c25b78.jpg?1580364849'], ['황선화', '조연', 'https://images.watcha.net/people/medium/0b789b09b7d78fae5865.jpg?1590120964'], ['엄지성', '조연', 'https://images.watcha.net/people/medium/532f904022741575a521.jpg?1590121018'], ['장대웅', '조연', 'https://images.watcha.net/people/medium/4dad2a0109a2f07d0e13.jpg?1595829994'], ['신린아', '조연', 'https://images.watcha.net/people/medium/03323c7c7c18e58a276b.jpg?1590121096'], ['이예은', '조연', ''], ['최재섭', '조연', 'https://images.watcha.net/people/medium/a33f4c04c0299c7f7a45.jpg?1588750136'], ['정영기', '조연', 'https://images.watcha.net/people/medium/0834a694b49198040791.jpg?1596027562'], ['유정호', '조연', 'https://images.watcha.net/people/medium/2934f57d5aa316f5ea48.jpg?1548912494'], ['맹세창', '조연', 'https://images.watcha.net/people/medium/b44e4eb34a1e244479ad.jpg?1590121201'], ['홍석연', '조연', 'https://images.watcha.net/people/medium/c6aef171db576bc13f42.jpg?1590121232'], ['최 스텔라 김', '조연', ''], ['고윤', '조연', 'https://images.watcha.net/people/medium/0205c8d4d535fef7a579.jpg?1595221482'], ['남진복', '조연', ''], ['박선웅', '조연', 'https://images.watcha.net/people/medium/c3984a1ff2dd72856dca.jpg?1590121413'], ['황인준', '조연', ''], ['엄보용', '조연', '']]","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_720,q_80,w_1280/v1490349575/mcrbun-11201.jpg","['https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1490349575/mcrbun-11201.jpg']","[['https://img.youtube.com/vi/BBEDtovULHY/0.jpg', 'https://www.youtube.com/watch?v=BBEDtovULHY'], ['https://img.youtube.com/vi/4TwmvNNlWqI/0.jpg', 'https://www.youtube.com/watch?v=4TwmvNNlWqI'], ['https://img.youtube.com/vi/5IZcO1yVT0Y/0.jpg', 'https://www.youtube.com/watch?v=5IZcO1yVT0Y']]"
mdBzNnP,어벤져스: 엔드게임,Avengers: Endgame,2019-02-14,03: 1:00,"인피니티 워 이후 절반만 살아남은 지구, 마지막 희망이 된 어벤져스, 먼저 떠난 그들을 위해 모든 것을 걸었다. 위대한 어벤져스, 운명을 바꿀 최후의 전쟁이 펼쳐진다.","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_400,q_80,w_280/v1554782052/eypltjzz2tkzgv1g5lye.jpg",4.2,['미국'],"['액션', '모험', 'SF']",['TVING'],"[['안소니 루소', '감독', 'https://images.watcha.net/people/medium/3f4b4c5f5a4f40f21f25.jpg?1544627020'], ['조 루소', '감독', 'https://images.watcha.net/people/medium/36613444650420831fa3.jpg?1544627069'], ['로버트 다우니 주니어', '주연', 'https://images.watcha.net/people/medium/8a437f6631714f63ee98.jpg?1544627117'], ['크리스 에반스', '주연', 'https://images.watcha.net/people/medium/4552cd4dde382e15f9a7.jpg?1544627872'], ['크리스 헴스워스', '주연', 'https://images.watcha.net/people/medium/79b9d8511da4d09619c5.jpg?1544627731'], ['스칼렛 요한슨', '주연', 'https://images.watcha.net/people/medium/f61f9335c89daed66d58.jpg?1544627914'], ['마크 러팔로', '주연', 'https://images.watcha.net/people/medium/a88723e2409456d4990f.jpg?1544627811'], ['제레미 레너', '주연', 'https://images.watcha.net/people/medium/d96f88efb09d462a6288.jpg?1556901465'], ['돈 치들', '주연', 'https://images.watcha.net/people/medium/aebb0fbe34261e3064e8.jpg?1556820149'], ['폴 러드', '주연', 'https://images.watcha.net/people/medium/95b654a03b5969256c9a.jpg?1544628542'], ['브리 라슨', '주연', 'https://images.watcha.net/people/medium/421f9f92cbd6093f9f96.jpg?1544628015'], ['카렌 길리언', '주연', 'https://images.watcha.net/people/medium/7c106a2eabea8bdaa40a.jpg?1544628131'], ['브래들리 쿠퍼', '주연', 'https://images.watcha.net/people/medium/415ea444f794d7376e7e.jpg?1567669412'], ['베네딕트 컴버배치', '주연', 'https://images.watcha.net/people/medium/74924495ce9eaceaa91e.jpg?1553788315'], ['조쉬 브롤린', '주연', 'https://images.watcha.net/people/medium/d3d4069a9238046601a5.jpg?1568499846'], ['채드윅 보스만', '주연', 'https://images.watcha.net/people/medium/52b827f779310000a39f.jpg?1544628865'], ['톰 홀랜드', '주연', 'https://images.watcha.net/people/medium/840b72449f56eca99600.jpg?1586188856'], ['테사 톰슨', '주연', 'https://images.watcha.net/people/medium/7e243f4385952f11d64c.jpg?1555175687']]","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_720,q_80,w_1280/v1544627384/lnqezqzqqgl8lokcyzpf.jpg","['https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1544627384/lnqezqzqqgl8lokcyzpf.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1554782164/vl0epyvh2bdo0ypcpgtp.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1554782162/lswgyczoavsrkaztjco3.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1554782159/syr9pzgblrm7hkle2kfk.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1554782156/ytckdtaqabhitpxp5duj.jpg']","[['https://img.youtube.com/vi/PVP5ZJuI57c/0.jpg', 'https://www.youtube.com/watch?v=PVP5ZJuI57c'], ['https://img.youtube.com/vi/ybhXVSAdIRE/0.jpg', 'https://www.youtube.com/watch?v=ybhXVSAdIRE'], ['https://img.youtube.com/vi/WKDn-18ec_Y/0.jpg', 'https://www.youtube.com/watch?v=WKDn-18ec_Y'], ['https://img.youtube.com/vi/khhtxcAnY-Q/0.jpg', 'https://www.youtube.com/watch?v=khhtxcAnY-Q']]"
mOAZ6Rl,겨울왕국 2,Frozen II,2019-04-25,01: 43:00,"내 마법의 힘은 어디서 왔을까?
나를 부르는 저 목소리는 누구지?

어느 날부턴가 의문의 목소리가 엘사를 부르고, 평화로운 아렌델 왕국을 위협한다. 트롤은 모든 것은 과거에서 시작되었음을 알려주며 엘사의 힘의 비밀과 진실을 찾아 떠나야 한다고 조언한다. 위험에 빠진 아렌델 왕국을 구해야만 하는 엘사와 안나는 숨겨진 과거의 진실을 찾아 크리스토프, 올라프 그리고 스벤과 함께 위험천만한 놀라운 모험을 떠나게 된다. 자신의 힘을 두려워했던 엘사는 이제 이 모험을 헤쳐나가기에 자신의 힘이 충분하다고 믿어야만 하는데…

11월, 두려움을 깨고 새로운 운명을 만나다.","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_400,q_80,w_280/v1573834033/hturisv7pj5yrwtlsdqy.jpg",3.7,['미국'],"['애니메이션', '모험', '코미디', '가족', '판타지']",[],"[['크리스 벅', '감독', 'https://images.watcha.net/people/medium/f639824b129c19ddd526.jpg?1569827076'], ['제니퍼 리', '감독', 'https://images.watcha.net/people/medium/de23c7cf6b739ff40c35.jpg?1569827210'], ['크리스틴 벨', '성우', 'https://images.watcha.net/people/medium/14cca3cde19158f243d0.jpg?1569478651'], ['이디나 멘젤', '성우', 'https://images.watcha.net/people/medium/497790f632aae98f4e4a.jpg?1563897630'], ['조시 게드', '성우', 'https://images.watcha.net/people/medium/8a3ebfe2faa7f3be85c2.jpg?1559724502'], ['조나단 그로프', '성우', 'https://images.watcha.net/people/medium/bc0f9ec7860334dd208b.jpg?1561101410'], ['스털링 K. 브라운', '성우', 'https://images.watcha.net/people/medium/b4d642d574618b2153dd.jpg?1560619631'], ['에반 레이첼 우드', '성우', 'https://images.watcha.net/people/medium/515a30ab0cc29f7d75ae.jpg?1550070359'], ['알프리드 몰리나', '성우', 'https://images.watcha.net/people/medium/c1541dbe218cacca92cf.jpg?1544609624'], ['마샤 플림튼', '성우', 'https://images.watcha.net/people/medium/2955cf178a23fe4e2a46.jpg?1572716971'], ['제이슨 리터', '성우', 'https://images.watcha.net/people/medium/b686ac214ee3a346b2e1.jpg?1569820214'], ['레이첼 매튜스', '성우', 'https://images.watcha.net/people/medium/2e7938fb9dca924edfc0.jpg?1550466065'], ['제레미 시스토', '성우', 'https://images.watcha.net/people/medium/a91050c574f9e2585925.jpg?1572717047'], ['키아란 하인즈', '성우', 'https://images.watcha.net/people/medium/7350eb070f3d4e50da59.jpg?1560488087']]","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_720,q_80,w_1280/v1572717281/lwpwo5suelqlowo03cyo.jpg","['https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1572717281/lwpwo5suelqlowo03cyo.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1572717301/me69w2jfw0f61w1tngom.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1572717295/qquqmbcfdyhsfj3t4y1o.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1572717289/wyvvkfvjauo9pvqr1gz3.jpg', 'https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_360,q_80,w_640/v1572717284/vit9zrpexefk5mtrstja.jpg']","[['https://img.youtube.com/vi/f6Yj6t6JN5w/0.jpg', 'https://www.youtube.com/watch?v=f6Yj6t6JN5w'], ['https://img.youtube.com/vi/FytTCy_D8So/0.jpg', 'https://www.youtube.com/watch?v=FytTCy_D8So'], ['https://img.youtube.com/vi/3WUw9thZR4k/0.jpg', 'https://www.youtube.com/watch?v=3WUw9thZR4k']]"
